SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,11441 S Ada St,Chicago,IL,60643,89900,2,1.0,CHI - Morgan Park,840,,1953,1,107,,Active,,,https://www.redfin.com/IL/Chicago/11441-S-Ada-St-60643/home/13067104,MRED,11646344,N,Y,41.6855311,-87.6553193
MLS Listing,,Condo/Co-op,4741 N Maplewood Ave Unit 3N,Chicago,IL,60625,319900,2,1.0,CHI - Lincoln Square,900,,1922,1,355,308,Active,October-6-2022 04:30 PM,October-6-2022 06:30 PM,https://www.redfin.com/IL/Chicago/4741-N-Maplewood-Ave-60625/unit-3N/home/182153517,MRED,11646343,N,Y,41.9679623,-87.6923046
MLS Listing,,Multi-Family (2-4 Unit),3713 N Cicero Ave,Chicago,IL,60641,437000,5,3.0,CHI - Portage Park,,3049,1904,1,,,Active,,,https://www.redfin.com/IL/Chicago/3713-N-Cicero-Ave-60641/home/180668261,MRED,11646339,N,Y,41.9483789,-87.7468793
MLS Listing,,Condo/Co-op,40 E 9th St #1005,Chicago,IL,60605,225000,2,1.0,CHI - Loop,1050,,,1,214,661,Active,October-15-2022 12:00 PM,October-15-2022 02:00 PM,https://www.redfin.com/IL/Chicago/40-E-9th-St-60605/unit-1005/home/12647630,MRED,11646334,N,Y,41.8707384,-87.6263891
MLS Listing,,Condo/Co-op,4521 N Central Park Ave Unit 1W,Chicago,IL,60625,179900,2,1.0,CHI - Albany Park,900,,1921,1,200,306,Active,,,https://www.redfin.com/IL/Chicago/4521-N-Central-Park-Ave-60625/unit-1W/home/12600805,MRED,11646333,N,Y,41.9635298,-87.7177831
MLS Listing,,Condo/Co-op,1800 W Grace St Unit 108T,Chicago,IL,60613,495000,2,2.0,CHI - North Center,1368,,2008,1,362,662,Active,October-8-2022 11:30 AM,October-8-2022 01:00 PM,https://www.redfin.com/IL/Chicago/1800-W-Grace-St-60613/unit-108T/home/40377673,MRED,11646332,N,Y,41.950727,-87.674211
MLS Listing,,Single Family Residential,4569 N Melvina Ave,Chicago,IL,60630,319000,3,1.5,CHI - Portage Park,1200,3781,1954,1,266,,Active,October-8-2022 12:00 PM,October-8-2022 02:00 PM,https://www.redfin.com/IL/Chicago/4569-N-Melvina-Ave-60630/home/13476276,MRED,11646328,N,Y,41.9640874,-87.7817712
MLS Listing,,Single Family Residential,2157 E 90th St,Chicago,IL,60617,180000,3,1.5,CHI - Calumet Heights,1507,,1957,1,119,,Active,,,https://www.redfin.com/IL/Chicago/2157-E-90th-St-60617/home/13117233,MRED,11646320,N,Y,41.7313792,-87.5709589
MLS Listing,,Multi-Family (2-4 Unit),7216 S Emerald St,Chicago,IL,60621,180000,5,2.0,CHI - Englewood,,,1920,1,,,Active,,,https://www.redfin.com/IL/Chicago/7216-S-Emerald-Dr-60621/home/182152203,MRED,11646317,N,Y,41.7815518,-87.6441765
MLS Listing,,Single Family Residential,6420 N Longmeadow Ave,Lincolnwood,IL,60712,835000,5,4.0,Lincolnwood Towers,4558,10881,2002,1,183,,Active,,,https://www.redfin.com/IL/Lincolnwood/6420-N-Longmeadow-Ave-60712/home/12778335,MRED,11646314,N,Y,41.9979726,-87.7520755
